date, event_name
Jan,Chittaramma Jatara (regional)
Jan 01,New Year's Day
Jan 14,Makar Sankranti / Pongal
Jan 26,Republic Day
Feb,Medaram Jatara (regional)
Mar 07,Maha Shivaratri
Mar 24,Holi
Mar 25,Good Friday
Apr 15,Ram Navami
Apr 20,Mahavir Jayanti
May 01,Labor Day
May 21,Budhha Purnima
Jul 06,Rath Yatra
Jul,Bonalu Festival (regional)
Jul 06,Eid-ul-fitar
Aug 15,Independence Day
Aug 18,Raksha Bandhan
Aug 25,Janmashtami
Sep 05,Vinayaka Chaturthi
Sep 12,Bakri Id / Eid Ul-adha
Sep 14,Onam
Oct 02,Gandhi Jayanti
Oct 09,Bathukamma (regional)
Oct 11,Dussehra / Dasara
Oct 12,Muharram
Oct 30,Diwali / Deepavali
Nov,Kurumurthy Swamy Jatara (regional)
Dec 13,Milad Un Nabi
Dec 25,Christmas